grupo,Asunto,Fecha y hora de recepcion
diario,"Cristina Kirchner y un golpe blanco, no deliberado",5/5/2022 6:48:48
suoer,Volvió la felicidad... ☺ SuperFindeSemana!,5/5/2022 7:27:52
banco,Llegó el beneficio que querías en Mostaza 🍔,5/5/2022 15:41:39
banco,¡Canjeá ahora!,5/5/2022 15:43:53
diario,Accedé a las 6.30 pm: La actualidad económica del país con Juan Carlos de Pablo,5/5/2022 17:04:21
diario,"¡DOLORES, ya llega nuestro especial 20% OFF en COTO!",5/5/2022 17:14:48
tele,La Casa del Dragón está llegando a HBO Max,5/5/2022 20:06:18
suoer,Todo los VIERNES tenés 25% OFF con BBVA si sos cliente GO 😃,5/5/2022 20:26:28
nafta,Conocé los productos que tenemos en Tienda ServiClub 😊,5/5/2022 22:29:38
diario,"En medio de una fuerte polémica, Diputados aprobó la ley que regula la industria del cannabis medicinal",5/6/2022 6:50:27
diario,"🙌 DOLORES, pedí tu credencial adicional de Club ¡Pasate a DUO con tarifas especiales!",5/6/2022 9:01:05
banco,Salí ahorrando los viernes en Puma Energy,5/6/2022 9:15:36
suoer,Super MIX de productos ☝,5/6/2022 9:32:21
viaje,Azerbaijan y Georgia: Aventura en el Cáucaso 2022,5/6/2022 11:38:54
nafta,🎊¡Viernes de descuento !🎉 Empezá el fin de semana con beneficios exclusivos👉,5/6/2022 11:44:26
suoer,¡Los más vendidos de Abril!,5/6/2022 12:36:03
banco,Te traemos ahorros para aprovechar,5/6/2022 12:37:29
suoer,¡Se está yendo la Semana Havanna sin TACC! ?? 🌾 No te quedes sin este combo exclusivo 💛,5/6/2022 12:56:12
suoer,¡Le damos la bienvenida a mayo con muchas promos nuevas! 😮🎉,5/6/2022 13:23:40
banco,Descubrí la Feria del Libro,5/6/2022 14:30:21
viaje,⏳ ¡HAPPY HOUR en Colonia Express! ⏳ ,5/6/2022 14:51:52
ropa,¡Te presentamos nuestra Print Orgánica! ,5/6/2022 15:14:09
tele,Lo que viene en los próximos días y las novedades de la semana.,5/6/2022 15:24:55
banco,Llegó la 13° edición de ONB Gallery 🎨,5/6/2022 16:17:47
banco,¿Vamos de compras?,5/6/2022 17:01:29
